rank,player,nation,position,team,league,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_no_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_no_pk,gk_goals_against,gk_goals_against_90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheet_pct,gk_pk_against,gk_pk_saved,gk_pk_missed,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,substitutions_in,minutes_per_sub,unused_sub,points_per_match,team_goals_on_pitch,team_goals_against_on_pitch,goal_diff_on_pitch,goal_diff_per_90,on_off,second_yellow,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,own_goals,position_primary,goals_per_90,assists_per_90,g_a_per_90,fouls_comm_per_90,fouls_drawn_per_90,interceptions_per_90,tackles_won_per_90,crosses_per_90
1592,Mike Maignan,FR FRA,GK,Milan,Serie A,30.0,1995.0,37,37,3295,36.6,0,0,0,0,0,0,4,0,0.0,35.0,0.96,134.0,106.0,77.6,19.0,10.0,8.0,14.0,37.8,5.0,2.0,1.0,0,0,,0.0,0.0,,,89,96.3,89.0,36,0,,0,1.81,49,35,14,0.38,-2.5,0,0,6,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.16393442622950818,0.0273224043715847,0.0,0.0
1597,Radosław Majecki,PL POL,GK,Brest,Ligue 1,26.0,1999.0,10,10,864,9.6,0,0,0,0,0,0,0,1,0.0,18.0,1.87,43.0,26.0,60.5,1.0,4.0,5.0,3.0,30.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,86,28.2,86.0,9,0,,16,0.7,9,15,-6,-0.62,-0.38,0,1,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.10416666666666667,0.10416666666666667,0.0,0.0,0.0
1614,Pape Mamadou Sy,SN SEN,GK,Metz,Ligue 1,29.0,1997.0,8,8,706,7.8,0,0,0,0,0,0,0,0,0.0,20.0,2.55,48.0,29.0,60.4,0.0,3.0,5.0,2.0,25.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,88,23.1,88.0,7,0,,9,0.38,7,20,-13,-1.66,-0.47,0,0,4,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5128205128205129,0.0,0.0,0.0
1615,Giorgi Mamardashvili,GE GEO,GK,Liverpool,Premier League,25.0,2000.0,10,10,867,9.6,0,0,0,0,0,0,0,0,0.0,18.0,1.87,49.0,33.0,65.3,3.0,1.0,6.0,2.0,20.0,1.0,1.0,0.0,0,0,,0.0,0.0,,,87,25.4,87.0,9,0,,26,1.0,13,18,-5,-0.52,-1.05,0,1,2,0,0,1,1,0,GK,0.0,0.0,0.0,0.10416666666666667,0.20833333333333334,0.10416666666666667,0.10416666666666667,0.0
1642,Renato Marin,IT ITA,GK,Paris Saint-Germain,Ligue 1,19.0,2006.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,5.0,3.0,60.0,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,5.9,90.0,2,0,,17,2.0,3,2,1,0.5,-0.87,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1649,Unai Marrero,ES ESP,GK,Real Sociedad,La Liga,24.0,2001.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,1.0,1.0,8.0,7.0,87.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,35,1.0,1,1,0,0.0,0.05,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1661,Emiliano Martínez,AR ARG,GK,Aston Villa,Premier League,33.0,1992.0,32,32,2835,31.5,0,1,1,0,0,0,2,0,0.03,39.0,1.24,133.0,95.0,70.7,16.0,6.0,10.0,8.0,25.0,0.0,1.0,0.0,0,0,,0.0,0.0,,,89,82.9,89.0,31,0,,0,1.69,46,39,7,0.22,0.22,0,0,17,0,0,0,0,0,GK,0.0,0.031746031746031744,0.031746031746031744,0.0,0.5396825396825397,0.0,0.0,0.0
1663,Josep Martinez,ES ESP,GK,Inter,Serie A,27.0,1998.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,4.0,0.8,14.0,10.0,71.4,4.0,1.0,0.0,3.0,60.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,13.2,90.0,5,0,,29,2.6,13,4,9,1.8,0.44,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735,Alex Meret,IT ITA,GK,Napoli,Serie A,29.0,1997.0,11,11,979,10.9,0,1,1,0,0,0,1,0,0.09,12.0,1.1,31.0,21.0,67.7,9.0,0.0,2.0,4.0,36.4,2.0,0.0,0.0,0,0,,0.0,0.0,,,89,28.6,89.0,10,0,,15,2.45,20,12,8,0.74,0.22,0,1,1,0,0,1,0,0,GK,0.0,0.09174311926605504,0.09174311926605504,0.09174311926605504,0.09174311926605504,0.09174311926605504,0.0,0.0
1757,Vanja Milinković-Savić,RS SRB,GK,Napoli,Serie A,29.0,1997.0,27,27,2430,27.0,0,1,1,0,0,0,0,0,0.04,24.0,0.89,69.0,52.0,72.5,14.0,7.0,6.0,11.0,40.7,5.0,3.0,0.0,0,0,,0.0,0.0,,,90,71.1,90.0,27,0,,9,1.81,38,24,14,0.52,-0.21,0,1,6,0,0,0,0,0,GK,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.0,0.0,0.0
